ID,Growth,Production,BGC type
ASPT,0.9882080588668475,1.0208533643074567,NRPS-like
PGCD,0.9598729556878578,1.0080983510726065,NRPS-like
GHMT2r,0.9613906650184566,1.008098351068976,NRPS-like
PSERT,0.9598729556878565,1.008098351068937,NRPS-like
AGT,0.9651161433890842,1.0080983510642845,NRPS-like
PSP_L,0.9598729553822815,1.0080983510445491,NRPS-like
FUM,0.9890228031987446,1.005692175735012,NRPS-like
MCOALY,0.9890228034680866,1.0056921757242054,NRPS-like
ASPTA,0.9919743308843811,1.005692175706051,NRPS-like
GLYCL,0.9689399977142776,1.0054907668227264,NRPS-like
